ticket_id,created_at,title,description,category,subcategory,priority,department,resolution,confidence_score,escalation_required,repeat_issue,automation_candidate,environment,source_channel,affected_service,sla_hours,resolver_group,similar_ticket_hint,kb_article,resolution_steps,sentiment,user_impact
INC-0430,2026-01-18 14:26:00,Multiple failed admin login attempts on Email Gateway,DLP alert: 4.7 GB transferred from Email Gateway to personal Dropbox account in off-hours.,Security,Phishing Detection,Medium,SOC,"Quarantined phishing emails, blocked malicious domain, issued user awareness alert.",0.92,false,false,false,Endpoint,Chat,Email Gateway,4,SOC,admin brute force foreign ips,KB-SEC-050,1. Isolate host in EDR; 2. Kill malicious process; 3. Extract IOC; 4. Force password reset; 5. Submit forensics ticket,Frustrated,Single User
INC-0892,2026-02-03 23:14:00,Account expired but user still active in Active Directory,Audit finding: developer role on Active Directory includes production data write permission not required for role.,Access Management,Role Provisioning,High,IAM Helpdesk,"Reset password, unlocked account, enforced new password policy, confirmed user access.",0.95,false,false,false,Prod,Chat,Active Directory,24,IAM Helpdesk,saml sso assertion mismatch,KB-IAM-032,1. Verify user identity via manager; 2. Issue MFA bypass; 3. Enroll new device; 4. Revoke old device; 5. Send confirmation,Frustrated,Single User
INC-0667,2026-01-27 00:14:00,Packet loss to DHCP Server affecting users,Distribution switch port hosting DHCP Server segment showing CRC errors and interface flaps.,Network,Switch Port Failure,Medium,NOC,"Adjusted VPN tunnel keepalive, corrected MTU mismatch, monitored session stability for 2 hours.",0.95,false,false,false,VPN,Email,DHCP Server,12,NOC,dhcp lease exhaustion subnet,KB-NET-023,1. Check VPN logs; 2. Test ping with large packet; 3. Adjust MTU to 1400; 4. Update keepalive; 5. Monitor stability,Urgent,Department
INC-0097,2026-01-06 19:56:00,CPU spike on ESXi Host causing slowdowns,Backup agent on ESXi Host has not reported success for the past 3 days. Business continuity at risk.,Infrastructure,Storage I/O Bottleneck,High,InfraOps,"Rolled back kernel patch, rebooted server, validated service health.",0.84,false,true,false,Staging,Chat,ESXi Host,8,InfraOps,disk full server,KB-INF-021,1. SSH to server; 2. Run df -h; 3. Archive logs older than 30 days; 4. Extend LVM volume; 5. Restart service; 6. Verify alert cleared,Neutral,Org-wide
INC-0414,2026-01-18 00:46:00,Multiple failed admin login attempts on Identity Provider,Phishing email with spoofed CFO sender reached 12 mailboxes. Malicious link to credential harvesting page.,Security,Data Exfiltration Attempt,High,SOC,"Quarantined phishing emails, blocked malicious domain, issued user awareness alert.",0.86,false,false,false,Endpoint,Phone,Identity Provider,4,SOC,phishing email credential harvesting,KB-SEC-031,1. Isolate host in EDR; 2. Kill malicious process; 3. Extract IOC; 4. Force password reset; 5. Submit forensics ticket,Urgent,Department
INC-0036,2026-01-04 15:31:00,OS patch failed on Kubernetes Cluster,Post-maintenance window the Kubernetes Cluster failed to boot correctly. Root cause appears to be a failed kernel update.,Infrastructure,VM Provisioning,Medium,InfraOps,"Rolled back kernel patch, rebooted server, validated service health.",0.75,false,false,false,Staging,Chat,Kubernetes Cluster,8,InfraOps,load balancer down,KB-INF-025,1. Boot into rescue mode; 2. Identify failed kernel; 3. Rollback with grub; 4. Reboot; 5. Validate services,Neutral,Single User
INC-0732,2026-01-29 07:45:00,Switch port failure affecting DHCP Server segment,Distribution switch port hosting DHCP Server segment showing CRC errors and interface flaps.,Network,DHCP Exhaustion,High,NOC,"Restarted DNS resolver service, flushed cache, validated A and CNAME records.",0.78,false,true,false,Prod,Chat,DHCP Server,12,NOC,firewall blocking https port 443,KB-NET-012,1. nslookup internal host; 2. Check DNS service status; 3. Restart resolver; 4. Flush client cache; 5. Validate resolution,Urgent,Team
INC-0147,2026-01-08 14:13:00,Hypervisor unresponsive for Kubernetes Cluster,Post-maintenance window the Kubernetes Cluster failed to boot correctly. Root cause appears to be a failed kernel update.,Infrastructure,OS Patch Failure,Medium,InfraOps,"Identified memory leak in app v2.3.1, patched and redeployed service.",0.64,true,true,false,Staging,Chat,Kubernetes Cluster,8,InfraOps,cpu spike kubernetes,KB-INF-030,1. Boot into rescue mode; 2. Identify failed kernel; 3. Rollback with grub; 4. Reboot; 5. Validate services,Frustrated,Single User
INC-0499,2026-01-21 01:00:00,Unusual access pattern from File Server account,EDR flagged encoded PowerShell execution on File Server. Process spawned from user context. Possible malware dropper.,Security,Certificate Expired,Medium,SOC,"Revoked elevated session, reviewed sudo logs, patched sudoers config.",0.92,false,true,false,Endpoint,Chat,File Server,4,SOC,ssl certificate expired,KB-SEC-026,1. Block source IPs in firewall; 2. Enable conditional access; 3. Force MFA; 4. Notify account owner; 5. Review auth logs,Neutral,Single User
INC-0375,2026-01-16 16:17:00,Slow response time on Invoice Service dashboard,Push notifications from Invoice Service stopped firing after the Twilio credentials were rotated.,Application,API Timeout,Medium,App Support,"Patched UIKit dependency conflict in iOS build, released v2.1.5 hotfix.",0.73,false,true,false,Dev,Email,Invoice Service,12,App Support,pdf export internal server error,KB-APP-031,1. Run EXPLAIN ANALYZE; 2. Identify missing index; 3. Add index; 4. Rerun query; 5. Monitor dashboard load time,Frustrated,Team
